상가업소번호,상호명,지점명,상권업종대분류명,상권업종중분류명,상권업종소분류명,도로명주소
MA010120220807371287,머슬H휘트니스,,예술·스포츠,스포츠 서비스,헬스장,서울특별시 광진구 군자로 108
MA010120220807384214,푸라닭군자점,,음식,기타 간이,치킨,서울특별시 광진구 군자로 140
MA010120220807378885,폴린에듀테크,,교육,기타 교육,음악학원,서울특별시 광진구 능동로13길 39
MA010120220807373021,씨유자양,,소매,종합 소매,편의점,서울특별시 광진구 자양번영로6길 68
MA010120220807409712,광진탑공인중개사사무소,,부동산,부동산 서비스,부동산 중개/대리업,서울특별시 광진구 능동로17길 6
MA010120220807401671,충만치킨군자점,,음식,기타 간이,치킨,서울특별시 광진구 능동로36길 32
MA010120220807372154,진미훠궈,,음식,중식,마라탕/훠궈,서울특별시 광진구 아차산로31길 9-1
MA010120220807373324,미식반점,,음식,중식,중국집,서울특별시 광진구 군자로 70
MA010120220807399896,자연이스밈,,소매,의약·화장품 소매,화장품 소매업,서울특별시 광진구 자양로 311
MA010120220807404659,이자벨엔코,,소매,섬유·의복·신발 소매,여성 의류 소매업,서울특별시 광진구 용마산로 41
MA010120220807402828,예림음악교습소,,교육,기타 교육,음악학원,서울특별시 광진구 용마산로5길 71
MA010120220807400135,호텔케이월드,,숙박,일반 숙박,호텔/리조트,서울특별시 광진구 동일로 90
MA010120220807515862,이모네김밥,,음식,기타 간이,김밥/만두/분식,서울특별시 광진구 뚝섬로30길 17
MA010120220807492670,쉬즈미스,,소매,섬유·의복·신발 소매,여성 의류 소매업,서울특별시 광진구 능동로 92
MA010120220807509913,서울건강내과의원,,보건의료,의원,내과/소아과 의원,서울특별시 광진구 자양로15길 51-1
MA010120220807492655,둥지,,음식,주점,요리 주점,서울특별시 광진구 영화사로 57
MA010120220807496251,파엘로그래픽,,과학·기술,전문 디자인,시각 디자인업,서울특별시 광진구 천호대로110길 70
MA010120220807496302,세종하늘마루,,음식,한식,백반/한정식,서울특별시 광진구 군자로 153
MA010120220807491463,담비살롱,,수리·개인,이용·미용,미용실,서울특별시 광진구 광나루로56길 29
MA010120220807505555,세븐자양성자초교점,,소매,종합 소매,편의점,서울특별시 광진구 뚝섬로 657
MA010120220807496164,성원약국,,소매,의약·화장품 소매,약국,서울특별시 광진구 천호대로122길 16
MA010120220807496593,자양스터디카페,,예술·스포츠,도서관·사적지,독서실/스터디 카페,서울특별시 광진구 자양로 53
MA010120220807493388,도깨비당구장,,예술·스포츠,스포츠 서비스,당구장,서울특별시 광진구 구의로 25
MA010120220807471542,위캔컨텐츠박스,,과학·기술,사진 촬영,사진촬영업,서울특별시 광진구 광나루로40길 64-7
MA010120220807570326,비스트로클로이,,음식,서양식,경양식,서울특별시 광진구 아차산로65길 6
MA010120220807537517,호박공인중개사사무소,,부동산,부동산 서비스,부동산 중개/대리업,서울특별시 광진구 군자로 30
MA010120220807558370,토마토고시텔,,숙박,기타 숙박,기숙사/고시원,서울특별시 광진구 동일로 78
MA010120220807488730,한가람,,음식,한식,백반/한정식,서울특별시 광진구 능동로 92
MA010120220807482093,들국화노래연습장,,예술·스포츠,유원지·오락,노래방,서울특별시 광진구 광나루로 344
MA010120220807486588,엄마밥상,,소매,식료품 소매,반찬/식료품 소매업,서울특별시 광진구 자양로9길 17
MA010120220807442281,푸른달,,소매,가전·통신 소매,핸드폰 소매업,서울특별시 광진구 광나루로56길 85
MA010120220807446016,다올프랜즈,,소매,종합 소매,편의점,서울특별시 광진구 뚝섬로23가길 17
MA010120220807481368,능동타코집,,음식,서양식,기타 서양식 음식점,서울특별시 광진구 능동로32길 5
MA010120220807490946,정희네,,음식,주점,요리 주점,서울특별시 광진구 답십리로 400
MA010120220807441743,좋은날떡집,,음식,기타 간이,떡/한과,서울특별시 광진구 동일로 190
MA010120220807605176,신선,,음식,한식,백반/한정식,서울특별시 광진구 자양로11길 8
MA010120220807611422,족발야시장군자역점,,음식,한식,족발/보쌈,서울특별시 광진구 능동로36길 18
MA010120220807654521,이항아,,음식,한식,돼지고기 구이/찜,서울특별시 광진구 군자로 50
MA010120220807655246,에이투짐,,예술·스포츠,스포츠 서비스,헬스장,서울특별시 광진구 자양번영로 28
MA010120220807654256,푸라닭,,음식,기타 간이,치킨,서울특별시 광진구 능동로 388
MA010120220807656329,건축사사무소우정아키텍,,과학·기술,기술 서비스,건축 설계 및 관련 서비스업,서울특별시 광진구 능동로 338
MA010120220807558517,송화반점,,음식,중식,중국집,서울특별시 광진구 동일로18길 70
MA010120220807589010,인기건어물,,소매,식료품 소매,건어물/젓갈 소매업,서울특별시 광진구 능동로49길 27
MA010120220807718308,컴퓨터수리,,수리·개인,컴퓨터 수리,컴퓨터/노트북/프린터 수리업,서울특별시 광진구 능동로 330
MA010120220807760086,엔에이치,,소매,섬유·의복·신발 소매,기타 의류 소매업,서울특별시 광진구 뚝섬로 642
MA010120220807752500,2002노래연습장,,예술·스포츠,유원지·오락,노래방,서울특별시 광진구 면목로 169
MA010120220807718619,구의역숯불집,,음식,한식,백반/한정식,서울특별시 광진구 아차산로 390
MA010120220807732038,따시하루,,음식,비알코올 ,카페,서울특별시 광진구 아차산로 431
MA010120220807719468,홍대돈부리,,음식,일식,일식 카레/돈가스/덮밥,서울특별시 광진구 군자로 4
MA010120220807755877,미래전략인증연구원,,과학·기술,본사·경영 컨설팅,경영 컨설팅업,서울특별시 광진구 아차산로 229
MA010120220807753973,법무사민창기,,과학·기술,법무관련 ,법무사,서울특별시 광진구 천호대로110길 108
MA010120220807754602,꾸아,,음식,동남아시아,베트남식 전문,서울특별시 광진구 군자로3길 9
MA010120220807749956,데이원짐,,예술·스포츠,스포츠 서비스,헬스장,서울특별시 광진구 자양로 163
MA010120220807721070,짐레빗GYMREVIT,,예술·스포츠,스포츠 서비스,헬스장,서울특별시 광진구 뚝섬로33길 45
MA010120220807713531,더청담,,수리·개인,욕탕·신체관리,마사지/안마,서울특별시 광진구 아차산로 237
MA010120220807738132,우리떡방,,음식,기타 간이,떡/한과,서울특별시 광진구 군자로 69
MA010120220807715482,택이네조개전골,,음식,한식,해산물 구이/찜,서울특별시 광진구 천호대로 591
MA010120220807711762,송우,,과학·기술,광고,광고 대행업,서울특별시 광진구 능동로48길 50-13
MA010120220807711718,라움피부,,수리·개인,이용·미용,피부 관리실,서울특별시 광진구 광나루로40길 93
MA010120220807733605,아주라이프,,소매,의약·화장품 소매,화장품 소매업,서울특별시 광진구 천호대로 691
MA010120220807774997,오지네,,음식,한식,돼지고기 구이/찜,서울특별시 광진구 동일로24길 85-1
MA010120220807770609,위례종합인테리어,,과학·기술,전문 디자인,인테리어 디자인업,서울특별시 광진구 자양로19가길 12
MA010120220807772597,할로윈헤어,,수리·개인,이용·미용,미용실,서울특별시 광진구 용마산로 162
MA010120220807752175,휴먼피부과의원,,보건의료,의원,피부/비뇨기과 의원,서울특별시 광진구 아차산로 502
MA010120220807766970,비지에프리테일건대경영관점,,소매,종합 소매,편의점,서울특별시 광진구 능동로 120
MA010120220807771446,임프레스,,시설관리·임대,고용 알선,임시/일용 인력 공급업,서울특별시 광진구 군자로12길 46
MA010120220807779073,천광부동산공인중개사사무소;부산어묵,,부동산,부동산 서비스,부동산 중개/대리업,서울특별시 광진구 긴고랑로11길 29
MA010120220807767260,제이비테크,,소매,섬유·의복·신발 소매,기타 의류 소매업,서울특별시 광진구 아차산로 634
MA010120220807713950,이브커텐,,소매,섬유·의복·신발 소매,침구류/커튼 소매업,서울특별시 광진구 자양로53길 69
MA010120220807823203,오케이케이스튜디오,,과학·기술,전문 디자인,시각 디자인업,서울특별시 광진구 자양로48길 14
MA010120220807824926,정모텔,,숙박,일반 숙박,여관/모텔,서울특별시 광진구 면목로 204
MA010120220807810213,오정이헤어매니아,,수리·개인,이용·미용,미용실,서울특별시 광진구 자양로13길 80
MA010120220807844056,왕십리불로곱창원,,음식,한식,곱창 전골/구이,서울특별시 광진구 뚝섬로 596
MA010120220807826994,상상플러스,,과학·기술,전문 디자인,인테리어 디자인업,서울특별시 광진구 아차산로36길 35
MA010120220807794341,오늘도낙지,,음식,주점,요리 주점,서울특별시 광진구 아차산로76길 6
MA010120220807798503,행운커피호프,,음식,기타 간이,김밥/만두/분식,서울특별시 광진구 긴고랑로 51
MA010120220807806137,비와이스위밍키즈,,예술·스포츠,스포츠 서비스,수영장,서울특별시 광진구 천호대로114길 15
MA010120220807799685,백세만세노인복지센터,,과학·기술,본사·경영 컨설팅,경영 컨설팅업,서울특별시 광진구 광나루로 556
MA010120220807803685,이스케이프샵,,예술·스포츠,유원지·오락,기타 오락관련 서비스업,서울특별시 광진구 능동로 129-1
MA010120220807801447,쎈텐학생복,,소매,섬유·의복·신발 소매,기타 의류 소매업,서울특별시 광진구 천호대로 666
MA010120220807800356,뷰티더바디스킨,,수리·개인,욕탕·신체관리,마사지/안마,서울특별시 광진구 아차산로51길 9
MA010120220807802975,셀렉스플로,,소매,섬유·의복·신발 소매,신발 소매업,서울특별시 광진구 아차산로 342
MA010120220807801945,테크노시스템,,소매,가전·통신 소매,컴퓨터/소프트웨어 소매업,서울특별시 광진구 광나루로56길 85
MA010120220807797971,벨렘351,,음식,비알코올 ,카페,서울특별시 광진구 능동로 119
MA010120220807805609,휴먼에코랩,,시설관리·임대,청소·방제,소독; 구충 및 방제 서비스업,서울특별시 광진구 광나루로56길 85
MA010120220807792824,짝태앤노가리,,음식,주점,요리 주점,서울특별시 광진구 동일로24길 49
MA010120220807851466,세종대중목욕탕,,수리·개인,욕탕·신체관리,목욕탕/사우나,서울특별시 광진구 군자로 108
MA010120220807889429,다앤코,,과학·기술,전문 디자인,시각 디자인업,서울특별시 광진구 자양번영로1길 22
MA010120220807787968,유진아이앤씨,,시설관리·임대,시설관리,사업시설 유지·관리 서비스업,서울특별시 광진구 강변역로4길 68
MA010120220807776821,씨엘케이푸드,,음식,중식,중국집,서울특별시 광진구 아차산로24길 26
MA010120220807784926,스카이재활의학과의원건식,,소매,식료품 소매,건강보조식품 소매업,서울특별시 광진구 아차산로 478
MA010120220807777195,자양건강약국,,소매,의약·화장품 소매,약국,서울특별시 광진구 뚝섬로56길 46
MA010120220807781714,시골보리밥,,음식,한식,백반/한정식,서울특별시 광진구 뚝섬로55길 24
MA010120220807778911,사계절공인중개사사무소,,부동산,부동산 서비스,부동산 중개/대리업,서울특별시 광진구 자양로43길 70
MA010120220807760399,건축사사무소주가림,,과학·기술,기술 서비스,건축 설계 및 관련 서비스업,서울특별시 광진구 용마산로21길 62
MA010120220807789403,헤어#,,수리·개인,이용·미용,미용실,서울특별시 광진구 자양번영로1길 15
MA010120220807776031,태성Tech,,소매,연료 소매,주유소,서울특별시 광진구 구의강변로 45
MA010120220807759270,악어떼노래연습장,,예술·스포츠,유원지·오락,노래방,서울특별시 광진구 동일로22길 105
MA010120220807790812,오늘찬,,소매,식료품 소매,반찬/식료품 소매업,서울특별시 광진구 구의강변로 106
MA010120220807784433,가온솔루션,,과학·기술,본사·경영 컨설팅,경영 컨설팅업,서울특별시 광진구 천호대로 691
MA010120220807783499,민트모바일,,소매,가전·통신 소매,핸드폰 소매업,서울특별시 광진구 자양번영로6길 9-1
MA010120220807781129,제로백PC,,예술·스포츠,유원지·오락,PC방,서울특별시 광진구 자양로 278
MA010120220807782892,크린토피아광진자양우성7차점,,수리·개인,세탁,세탁소,서울특별시 광진구 아차산로36길 35
MA010120220807780843,하나공인중개사사무소,,부동산,부동산 서비스,부동산 중개/대리업,서울특별시 광진구 면목로 192
MA010120220807953491,메디파워약국,,소매,의약·화장품 소매,약국,서울특별시 광진구 뚝섬로 552
MA010120220807941798,플러스,,소매,섬유·의복·신발 소매,가방 소매업,서울특별시 광진구 용마산로 49-1
MA010120220807977755,부부행운공인중개사사무소,,부동산,부동산 서비스,부동산 중개/대리업,서울특별시 광진구 면목로 151
MA010120220807974803,참숯불갈비살,,음식,한식,돼지고기 구이/찜,서울특별시 광진구 긴고랑로 92
MA010120220807931813,리안헤어구의역,,수리·개인,이용·미용,미용실,서울특별시 광진구 아차산로 370
MA010120220807930078,미래설비,,수리·개인,기타 가정용품 수리,의류/이불 수선업,서울특별시 광진구 아차산로61길 33
MA010120220807974915,대한민죽,,음식,한식,백반/한정식,서울특별시 광진구 광나루로37길 12
MA010120220807929850,한몽골수소발전소개발위원회,,과학·기술,기술 서비스,환경 관련 엔지니어링 서비스업,서울특별시 광진구 광나루로56길 85
MA010120220807929900,착한밥상,,음식,한식,백반/한정식,서울특별시 광진구 뚝섬로30길 11
MA010120220807935931,매머드익스프레스자양,,음식,비알코올 ,카페,서울특별시 광진구 자양로15길 6
MA010120220807927479,VJ노래연습장,,예술·스포츠,유원지·오락,노래방,서울특별시 광진구 아차산로51길 62
MA010120220807952931,실리수산,,소매,식료품 소매,수산물 소매업,서울특별시 광진구 영화사로 8
MA010120220807936529,믹스라운지,,음식,서양식,경양식,서울특별시 광진구 동일로24길 102
MA010120220807980353,머리하기좋은날,,수리·개인,이용·미용,미용실,서울특별시 광진구 동일로28길 48
MA010120220807993429,피읖제페니즈다이닝,,음식,주점,요리 주점,서울특별시 광진구 능동로 327-1
MA010120220807980813,지지샵,,수리·개인,이용·미용,피부 관리실,서울특별시 광진구 동일로22길 117-13
MA010120220807983075,황금손가락,,음식,일식,일식 회/초밥,서울특별시 광진구 구의강변로 49
MA010120220807994161,행복밥상,,음식,한식,백반/한정식,서울특별시 광진구 면목로 62
MA010120220807994637,능이.백숙.삼계탕,,음식,한식,돼지고기 구이/찜,서울특별시 광진구 동일로10길 43
MA010120220807994314,세븐일레븐군자,,소매,종합 소매,편의점,서울특별시 광진구 군자로 85-1
MA010120220807983158,피에스타PC방,,예술·스포츠,유원지·오락,PC방,서울특별시 광진구 자양번영로 20
MA010120220807932579,영공인중개사사무소,,부동산,부동산 서비스,부동산 중개/대리업,서울특별시 광진구 자양로 285
MA010120220808011142,마리오스튜디오,,예술·스포츠,유원지·오락,기타 오락관련 서비스업,서울특별시 광진구 자양로23길 83-7
MA010120220807932835,푸지메,,음식,한식,백반/한정식,서울특별시 광진구 동일로10길 7
MA010120220807932637,오렌지부동산공인중개사사무소,,부동산,부동산 서비스,부동산 중개/대리업,서울특별시 광진구 아차산로33길 90
MA010120220807928978,이튼공인중개사사무소,,부동산,부동산 서비스,부동산 중개/대리업,서울특별시 광진구 뚝섬로33길 6
MA010120220807993265,202브랜드,,시설관리·임대,시설관리,사업시설 유지·관리 서비스업,서울특별시 광진구 동일로46길 23-11
MA010120220807980246,미궁불닭발,,음식,한식,돼지고기 구이/찜,서울특별시 광진구 능동로 365
MA010120220807929309,좋은습관PTSTUDIO건대화양,,교육,기타 교육,요가/필라테스 학원,서울특별시 광진구 광나루로 366-1
MA010120220808009032,정육면체,,음식,동남아시아,베트남식 전문,서울특별시 광진구 아차산로 612
MA010120220807928755,꽃피는산골,,음식,주점,요리 주점,서울특별시 광진구 천호대로127길 9
MA010120220807995146,오늘의우리Creative,,교육,기타 교육,기타 예술/스포츠 교육기관,서울특별시 광진구 동일로26길 41
MA010120220807983639,안다미로,,음식,비알코올 ,카페,서울특별시 광진구 아차산로25길 8
MA010120220807991790,바우촌,,소매,식료품 소매,정육점,서울특별시 광진구 영화사로 12
MA010120220807991892,트렌디보이스,,교육,기타 교육,음악학원,서울특별시 광진구 천호대로110길 105
MA010120220807928478,온화세무사사무소,,과학·기술,회계·세무,세무사,서울특별시 광진구 광나루로 386
MA010120220807979246,행복상회,,소매,섬유·의복·신발 소매,기타 의류 소매업,서울특별시 광진구 긴고랑로9길 50
MA010120220808117297,당진동태탕아구찜,,음식,한식,백반/한정식,서울특별시 광진구 긴고랑로 46-1
MA010120220808118492,서울베스트치과,,보건의료,의원,치과의원,서울특별시 광진구 자양로 278
MA010120220808024503,라이크살롱,,소매,섬유·의복·신발 소매,여성 의류 소매업,서울특별시 광진구 능동로 147
MA010120220808032582,브레인학원,,교육,일반 교육,입시·교과학원,서울특별시 광진구 능동로47길 7
MA010120220808117941,테두리건축사사무소,,과학·기술,기술 서비스,건축 설계 및 관련 서비스업,서울특별시 광진구 능동로 247
MA010120220808024543,대원기숙원별관,,숙박,기타 숙박,기숙사/고시원,서울특별시 광진구 용마산로22길 24
MA010120220808019046,손끝에서만발하다,,소매,식물 소매,꽃집,서울특별시 광진구 아차산로 321-1
MA010120220808029067,제이,,소매,의약·화장품 소매,화장품 소매업,서울특별시 광진구 천호대로110길 36
MA010120220808021527,슬로,,음식,기타 간이,빵/도넛,서울특별시 광진구 능동로 92
MA010120220808018127,미락,,음식,한식,백반/한정식,서울특별시 광진구 자양로18길 59
MA010120220808029122,와포,,음식,주점,요리 주점,서울특별시 광진구 동일로22길 19
MA010120220808043823,레전드건대,,예술·스포츠,스포츠 서비스,기타 스포츠시설 운영업,서울특별시 광진구 아차산로 237
MA010120220808022582,리도토음악학원,,교육,기타 교육,음악학원,서울특별시 광진구 아차산로69길 6
MA010120220808022262,이엔디오,,소매,식료품 소매,반찬/식료품 소매업,서울특별시 광진구 아차산로78길 72
MA010120220808023081,빅스타헤어,,수리·개인,이용·미용,미용실,서울특별시 광진구 자양로15길 42
MA010120220808017626,스마트교복,,소매,섬유·의복·신발 소매,기타 의류 소매업,서울특별시 광진구 자양로 185
MA010120220807829164,스타컴,,과학·기술,광고,광고 대행업,서울특별시 광진구 자양번영로 34
MA010120220807885899,씨유광진두영점,,소매,종합 소매,편의점,서울특별시 광진구 영화사로 52
MA010120220807834862,서초디앤시,,부동산,부동산 서비스,부동산 중개/대리업,서울특별시 광진구 동일로44길 20
MA010120220807837123,별타쌤솔루션수학교습소,,교육,일반 교육,입시·교과학원,서울특별시 광진구 뚝섬로37길 11
MA010120220807834904,지혜로,,음식,한식,백반/한정식,서울특별시 광진구 자양로18길 25
MA010120220807828137,여진카페,,음식,기타 간이,빵/도넛,서울특별시 광진구 용마산로 98
MA010120220807885833,중곡동공인중개사사무소,,부동산,부동산 서비스,부동산 중개/대리업,서울특별시 광진구 능동로 411
MA010120220808120524,소소한하루,,소매,장식품 소매,기념품점,서울특별시 광진구 자양로50길 37
MA010120220808140592,BYC군자역점,,소매,섬유·의복·신발 소매,기타 의류 소매업,서울특별시 광진구 천호대로 550
MA010120220808112226,아틀리에카펠ATELIERKAPEL.C,,소매,의약·화장품 소매,화장품 소매업,서울특별시 광진구 동일로4길 31
MA010120220808116897,비원피씨방,,예술·스포츠,유원지·오락,PC방,서울특별시 광진구 군자로 43
MA010120220808127253,붕어앤호두커피,,음식,비알코올 ,카페,서울특별시 광진구 자양로48길 6
MA010120220808122333,마리영,,과학·기술,본사·경영 컨설팅,경영 컨설팅업,서울특별시 광진구 아차산로 207
MA010120220808112125,빔테크,,소매,가전·통신 소매,가전제품 소매업,서울특별시 광진구 뚝섬로 622-1
MA010120220808069521,청빛가람,,소매,섬유·의복·신발 소매,기타 의류 소매업,서울특별시 광진구 구의로 45
MA010120220808123935,지오테크원,,과학·기술,기술 서비스,건물 및 토목 엔지니어링 서비스업,서울특별시 광진구 능동로32길 130-5
MA010120220808072444,골든브릿지부동산연구소,,부동산,부동산 서비스,부동산 중개/대리업,서울특별시 광진구 능동로 275-1
MA010120220808141097,본죽&비빔밥뚝섬유원지역점,,음식,한식,백반/한정식,서울특별시 광진구 능동로 18
MA010120220808064600,고베규카츠,,음식,일식,일식 카레/돈가스/덮밥,서울특별시 광진구 아차산로33길 64
MA010120220808064711,띵똥와플,,음식,기타 간이,빵/도넛,서울특별시 광진구 능동로13길 10
MA010120220808123595,다몽,,음식,한식,백반/한정식,서울특별시 광진구 천호대로110길 50
MA010120220808142098,나눔리얼티,,부동산,부동산 서비스,부동산 중개/대리업,서울특별시 광진구 아차산로78길 44
MA010120220808120352,쪽갈비대통령,,음식,한식,돼지고기 구이/찜,서울특별시 광진구 용마산로 6-6
MA010120220808124358,어광수가정의학과의원,,보건의료,의원,기타 의원,서울특별시 광진구 아차산로69길 8
MA010120220807879190,버글러,,음식,비알코올 ,카페,서울특별시 광진구 천호대로127길 74
MA010120220807888033,경성모터스,,수리·개인,자동차 수리·세차,자동차 정비소,서울특별시 광진구 동일로 258
MA010120220807889127,광진대성모터스,,수리·개인,모터사이클 수리,모터사이클 수리업,서울특별시 광진구 자양로 228
MA010120220807909359,화평인테리어,,과학·기술,전문 디자인,인테리어 디자인업,서울특별시 광진구 천호대로132길 18
MA010120220808061612,포포PC방,,예술·스포츠,유원지·오락,PC방,서울특별시 광진구 아차산로 229
MA010120220808078243,세븐일레븐구의,,소매,종합 소매,편의점,서울특별시 광진구 구의로 10
MA010120220808057325,광진공인중개사사무소,,부동산,부동산 서비스,부동산 중개/대리업,서울특별시 광진구 자양번영로11길 21
MA010120220808048229,에이프로,,시설관리·임대,가정용품 대여,스포츠/레크리에이션 용품 대여업,서울특별시 광진구 아차산로78길 44
MA010120220808055028,어라운드자양,,음식,서양식,경양식,서울특별시 광진구 능동로6길 14
MA010120220808036033,리프디어,,음식,비알코올 ,카페,서울특별시 광진구 자양번영로1길 15
MA010120220808048939,한일공인중개사사무소,,부동산,부동산 서비스,부동산 중개/대리업,서울특별시 광진구 군자로 111
MA010120220808050399,꾸꾸네일,,수리·개인,이용·미용,네일숍,서울특별시 광진구 뚝섬로36가길 2
MA010120220808053893,이룸이앤씨,,과학·기술,기술 서비스,기타 엔지니어링 서비스업,서울특별시 광진구 능동로 318
MA010120220808039805,스마트동물병원군자점,,과학·기술,수의,동물병원,서울특별시 광진구 능동로43길 3-5
MA010120220808035661,유오디오,,소매,가전·통신 소매,가전제품 소매업,서울특별시 광진구 광나루로56길 85
MA010120220808057394,셀프1000년장어촌,,음식,한식,해산물 구이/찜,서울특별시 광진구 긴고랑로 42
MA010120220808054048,최군모터스,,소매,모터사이클 소매,모터사이클 및 부품 소매업,서울특별시 광진구 긴고랑로 10
MA010120220808031462,멕시칼리,,음식,동남아시아,베트남식 전문,서울특별시 광진구 능동로36길 181
MA010120220808048320,수내닭꼬치,,음식,한식,닭/오리고기 구이/찜,서울특별시 광진구 능동로 181
MA010120220808062331,더케이세븐플러스,,시설관리·임대,사무 지원,기타 사무 지원 서비스업,서울특별시 광진구 동일로56길 12
MA010120220808048338,밀바이스튜디오화이트롯데,,소매,섬유·의복·신발 소매,여성 의류 소매업,서울특별시 광진구 능동로 92
MA010120220808034838,지에스25광장학산점,,소매,종합 소매,편의점,서울특별시 광진구 아차산로78길 72
MA010120220808052364,대성에스앤티,,수리·개인,가전제품 수리,가전제품 수리업,서울특별시 광진구 자양로22길 80-8
MA010120220808073141,다이나핏롯데건대점,,소매,섬유·의복·신발 소매,기타 의류 소매업,서울특별시 광진구 능동로 92
MA010120220808061233,리얼샷사격양궁장,,예술·스포츠,유원지·오락,기타 오락장,서울특별시 광진구 아차산로29길 17
MA010120220808053669,현대공인중개사사무소,,부동산,부동산 서비스,부동산 중개/대리업,서울특별시 광진구 면목로 202
MA010120220808046557,더블류,,음식,주점,요리 주점,서울특별시 광진구 자양로13길 40
MA010120220808060928,서점로티,,소매,오락용품 소매,서점,서울특별시 광진구 용마산로 88-7
MA010120220808030411,얼음땡아이스크림,,소매,종합 소매,슈퍼마켓,서울특별시 광진구 천호대로112길 17
MA010120220808076955,이엔에스,,과학·기술,전문 디자인,인테리어 디자인업,서울특별시 광진구 아차산로49길 22
MA010120220808048489,살롱드림,,수리·개인,이용·미용,미용실,서울특별시 광진구 광나루로 544
MA010120220808054011,아이프렌드,,소매,오락용품 소매,서점,서울특별시 광진구 자양로50길 42
MA010120220808094176,고소름곱창,,음식,한식,곱창 전골/구이,서울특별시 광진구 면목로 114
MA010120220808090535,혜야공간,,소매,섬유·의복·신발 소매,여성 의류 소매업,서울특별시 광진구 긴고랑로 148-1
MA010120220808094345,아차차스튜디오,,과학·기술,사진 촬영,사진촬영업,서울특별시 광진구 긴고랑로36길 46
MA010120220808083317,하남돼지집군자역점,,음식,한식,돼지고기 구이/찜,서울특별시 광진구 군자로 186
MA010120220808079626,가락농산,,소매,식료품 소매,채소/과일 소매업,서울특별시 광진구 긴고랑로29길 75
MA010120220808083422,한사요가,,교육,기타 교육,요가/필라테스 학원,서울특별시 광진구 광장로7길 4
MA010120220808086364,필링라이브,,음식,주점,요리 주점,서울특별시 광진구 광나루로 351
MA010120220808090271,재즈네일,,수리·개인,이용·미용,네일숍,서울특별시 광진구 광나루로39길 11
MA010120220808109580,이경TERNATIONAL,,소매,의약·화장품 소매,약국,서울특별시 광진구 뚝섬로52마길 42-18
MA010120220808094091,핑,,예술·스포츠,스포츠 서비스,기타 스포츠시설 운영업,서울특별시 광진구 자양로47길 8
MA010120220808092273,티앤엠디,,과학·기술,본사·경영 컨설팅,경영 컨설팅업,서울특별시 광진구 면목로 182
MA010120220808084801,진김밥,,음식,기타 간이,김밥/만두/분식,서울특별시 광진구 아차산로 243
MA010120220808091306,이건우축구아카데미,,교육,기타 교육,요가/필라테스 학원,서울특별시 광진구 광나루로 562
MA010120220808051058,자갈치꼼장어막회,,음식,주점,요리 주점,서울특별시 광진구 뚝섬로 605
MA010120220808084937,우리적산,,과학·기술,기술 서비스,건축 설계 및 관련 서비스업,서울특별시 광진구 천호대로 798-5
MA010120220808081790,호랭관,,수리·개인,세탁,세탁소,서울특별시 광진구 능동로13길 12
MA010120220808090023,슈브제,,음식,기타 간이,빵/도넛,서울특별시 광진구 아차산로31길 20-3
MA010120220808094432,한세상사이클링,,소매,오락용품 소매,자전거 소매업,서울특별시 광진구 동일로2길 45
MA010120220808055601,쥬트,,수리·개인,이용·미용,미용실,서울특별시 광진구 긴고랑로7길 79
MA010120220808088266,엠사운드,,시설관리·임대,가정용품 대여,음반/비디오물 대여업,서울특별시 광진구 자양로39길 26
MA010120220808086432,태양공인중개사사무소,,부동산,부동산 서비스,부동산 중개/대리업,서울특별시 광진구 자양번영로3길 3
MA010120220808091731,하나웰여행사동,,시설관리·임대,여행사·보조,여행사,서울특별시 광진구 강변역로 50
MA010120220808006368,신의주순대국밥,,음식,한식,백반/한정식,서울특별시 광진구 뚝섬로30길 11
MA010120220808003223,지닷몬스터,,시설관리·임대,기타 사업 서비스,전시/컨벤션/행사 대행 서비스업,서울특별시 광진구 천호대로 655
MA010120220808044970,메가엠지씨커피신양초,,음식,비알코올 ,카페,서울특별시 광진구 능동로 49
MA010120220807998192,아이비넷,,과학·기술,광고,광고 대행업,서울특별시 광진구 동일로18나길 6-5
MA010120220808003654,더샵스타시티공인중개사사무소,,부동산,부동산 서비스,부동산 중개/대리업,서울특별시 광진구 아차산로36길 35
MA010120220807997493,에스엠새마을굿판장,,소매,식료품 소매,채소/과일 소매업,서울특별시 광진구 자양로13나길 14
MA010120220808008354,선화포차,,음식,주점,요리 주점,서울특별시 광진구 용마산로6길 7
MA010120220808060883,삼삼게스트하우스,,숙박,일반 숙박,펜션,서울특별시 광진구 광나루로20가길 5
MA010120220808032407,고래종합건축사사무소,,과학·기술,기술 서비스,건축 설계 및 관련 서비스업,서울특별시 광진구 면목로 63-2
MA010120220808007029,꾸밈,,수리·개인,이용·미용,피부 관리실,서울특별시 광진구 용마산로1길 14
MA010120220807999171,카페드라이,,음식,비알코올 ,카페,서울특별시 광진구 아차산로 216-12
MA010120220808033745,디델리,,음식,기타 간이,김밥/만두/분식,서울특별시 광진구 군자로 128
MA010120220808041186,마실,,소매,섬유·의복·신발 소매,여성 의류 소매업,서울특별시 광진구 뚝섬로36길 48-1
MA010120220808033079,탈렌트노래연습장,,예술·스포츠,유원지·오락,노래방,서울특별시 광진구 동일로24길 67
MA010120220808004374,비채온공인중개사사무소,,부동산,부동산 서비스,부동산 중개/대리업,서울특별시 광진구 천호대로 530
