번호,업종명,업소명,주요품목,가격,업소 전화번호,주소,주차여부,포장여부,배달여부,예약여부,남여화장실 구분여부,단체이용 가능여부,무선인터넷 제공여부,반려동물 동반여부,유아시설여부,주소_추출
20,한식,마미가,돈가스,8000,02-456-3362,서울특별시 광진구 아차산로51길 101 (구의동) ,,,,,,,,,,서울특별시 광진구 아차산로51길 101
21,미용업,머리천국미용실,"미용료
(파마)",35000,02-458-5619,서울특별시 광진구 뚝섬로49길 31 (자양동),,,,,,,,,,서울특별시 광진구 뚝섬로49길 31
22,미용업,모짜르트헤어샵,미용료(파마),30000,02-447-1623,서울특별시 광진구  자양번영로1길 12 (자양동),,,,,,,,,,서울특별시 광진구  자양번영로1길 12
23,한식,무병장수한방삼계탕,삼계탕,13000,02-444-9988,서울특별시 광진구 자양번영로 65 ,,,,,,,,,,서울특별시 광진구 자양번영로 65
24,양식,무한정수제돈가스,돈가스,8500,02-469-3122,서울특별시 광진구 군자로 102 1층 (군자동),,,,,,,,,,서울특별시 광진구 군자로 102
25,미용업,미도미용실,커트,12000,02-458-0916,서울특별시 광진구 긴고랑로 149 ,,,,,,,,,,서울특별시 광진구 긴고랑로 149
26,미용업,방미헤어컬쳐,"미용료
(파마)",30000,02-462-3711,서울특별시 광진구 군자로 138 (군자동),,,,,,,,,,서울특별시 광진구 군자로 138
27,기타요식업,베이지크,아메리카노,2500,0507-1351-9020,서울특별시 광진구 뚝섬로24길 21 (자양동) 1층,,O,O,O,,,O,O,,서울특별시 광진구 뚝섬로24길 21
28,한식,보광식당,된장찌개,7000,02-456-3707,서울특별시 광진구 아차산로 341-1 (자양동) (자양동),,,,,,,,,,서울특별시 광진구 아차산로 341
29,한식,보리&치킨,치킨,15000,,서울특별시 광진구 군자로 175 1층,,,,,,,,,,서울특별시 광진구 군자로 175
30,한식,새맛식당,삼겹살,10000,02-444-1749,서울특별시 광진구 자양로18길 12-3 (구의동) ,,,,,,,,,,서울특별시 광진구 자양로18길 12
31,미용업,서승미헤어,커트,8000,02-456-0773,서울특별시 광진구 용마산로24길 6 ,,,,,,,,,,서울특별시 광진구 용마산로24길 6
32,중식,석기시대짜장마을,자장면,4000,02-467-7123,서울특별시 광진구 군자로 111 ,,,,,,,,,,서울특별시 광진구 군자로 111
33,미용업,세실리아미용실,커트,10000,02-463-5282,서울특별시 광진구 긴고랑로11길 26 (중곡동) 1층,,,,,,,,,,서울특별시 광진구 긴고랑로11길 26
34,중식,세종원,자장면,6000,02-499-1800,서울특별시 광진구 광나루로 373 (군자동),,,,,,,,,,서울특별시 광진구 광나루로 373
35,한식,손수제치킨,치킨,10500,02-465-0366,서울특별시 광진구 군자로 129 1층 (군자동),,,,,,,,,,서울특별시 광진구 군자로 129
36,한식,송영옥진주육전냉면,물냉면,8000,0507-1403-2095,서울특별시 광진구 능동로47길 4 (중곡동) 1층,,O,,O,,,O,,,서울특별시 광진구 능동로47길 4
37,일식,스시붐,초밥(10p),10000,02-466-6077,서울특별시 광진구 광나루로17길 14-5 (군자동),,,,,,,,,,서울특별시 광진구 광나루로17길 14
38,미용업,양컷퍼드업헤어샵,커트,12000,02-454-4447,서울특별시 광진구 뚝섬로 622-1 ,,,,,,,,,,서울특별시 광진구 뚝섬로 622
39,미용업,영주머리방,커트,12000,02-458-7233,서울특별시 광진구 긴고랑로36길 35 ,,,,,,,,,,서울특별시 광진구 긴고랑로36길 35
40,한식,옛골,백반,6000,,서울특별시 광진구 자양로26길 10 (구의동) 1층,,O,,O,,,,,,서울특별시 광진구 자양로26길 10
41,한식,오목대,삼계탕,14000,02-433-6692,서울특별시 광진구 동일로80길 23 ,,,,,,,,,,서울특별시 광진구 동일로80길 23
42,한식,옥돌바베큐,치킨,15000,,서울특별시 광진구 군자로 138 ,,,,,,,,,,서울특별시 광진구 군자로 138
43,한식,위락,된장찌개,6000,,서울특별시 광진구 능동로16길 50 1층 (화양동),,,,,,,,,,서울특별시 광진구 능동로16길 50
44,미용업,유나미용실,미용료(파마),40000,02-463-7832,서울특별시 광진구  동일로4길 44 (자양동),,,,,,,,,,서울특별시 광진구  동일로4길 44
45,미용업,윤선영헤어샵,커트,14000,02-454-9981,서울특별시 광진구 영화사로 21-1 ,,,,,,,,,,서울특별시 광진구 영화사로 21
46,세탁업,으뜸크리닝,의복수선료,5000,02-446-1756,서울특별시 광진구  아차산로51길 74 (구의동),,,,,,,,,,서울특별시 광진구  아차산로51길 74
47,미용업,이계임미용실,미용료(파마),30000,02-446-9831,서울특별시 광진구  자양로15길 101 (자양동),,,,,,,,,,서울특별시 광진구  자양로15길 101
48,미용업,이도희머리방,"미용료
(파마)",15000,02-446-9924,서울특별시 광진구 아차산로36길 39 (자양동),,,,,,,,,,서울특별시 광진구 아차산로36길 39
49,한식,이삭홍두깨칼국수,칼국수,4500,02-464-8457,서울특별시 광진구 동일로72길 51 (중곡동),,,,,,,,,,서울특별시 광진구 동일로72길 51
50,기타요식업,자양다방,커피,2000,,서울특별시 광진구 자양로15길 100 1층,,O,O,,O,,O,O,,서울특별시 광진구 자양로15길 100
51,미용업,자이헤어,"미용료
(커트)",15000,02-457-9151,서울특별시 광진구 광나루로52길 44-1 ,,,,,,,,,,서울특별시 광진구 광나루로52길 44
52,미용업,장미미용실,미용료(파마),25000,02-466-6062,서울특별시 광진구 면목로167 (중곡동),,,,,,,,,,
53,미용업,정은정헤어샵,커트,10000,,서울특별시 광진구 자양로28길 10 ,,,,,,,,,,서울특별시 광진구 자양로28길 10
54,미용업,제이필헤어,"미용료
(파마)",25000,02-343-4063,서울특별시 광진구 자양로 183 (구의동),,,,,,,,,,서울특별시 광진구 자양로 183
55,미용업,조희미용실,"미용료
(파마)",30000,02-447-0658,서울특별시 광진구  뚝섬로52나길 25 ,,,,,,,,,,서울특별시 광진구  뚝섬로52나길 25
56,한식,종로한정식,된장찌개,7000,02-457-2411,서울특별시 광진구 아차산로 324 ,,,,,,,,,,서울특별시 광진구 아차산로 324
57,중식,중국관,짜장면,4000,02-497-5276,서울특별시 광진구 긴고랑로 39 (중곡동),,,,,,,,,,서울특별시 광진구 긴고랑로 39
58,세탁업,중원사,의복수선료,3000,,서울특별시 광진구 천호대로135길 8 (구의동) ,,,,,,,,,,서울특별시 광진구 천호대로135길 8
59,목욕업,진아보석사우나,목욕료,8000,02-457-3355,서울특별시 광진구 자양로15길 109 (자양동),,,,,,,,,,서울특별시 광진구 자양로15길 109
60,중식,차우동짜장,짜장면,5000,02-466-2006,서울특별시 광진구 뚝섬로 472 (자양동) 1층,,,,,,,,,,서울특별시 광진구 뚝섬로 472
61,한식,채움,된장찌개,7000,02-462-8859,서울특별시 광진구 군자로 104-1 ,,,,,,,,,,서울특별시 광진구 군자로 104
62,미용업,채현헤어샵,남성커트,11000,02-498-8001,서울특별시 광진구 면목로 57 (중곡동) 1층,O,,,O,,,O,,,서울특별시 광진구 면목로 57
63,미용업,초원미용실,미용(파마),30000,02-457-1489,서울특별시 광진구 자양로13길 79 (자양동) ,,,,,,,,,,서울특별시 광진구 자양로13길 79
64,미용업,파랑노랑미용실,커트,10000,,서울특별시 광진구 자양로45길 18 (구의동) 1층,,,,,,,,,,서울특별시 광진구 자양로45길 18
65,양식,하루,돈가스,8500,,서울특별시 광진구 능동로16길 60 1층 (화양동),,,,,,,,,,서울특별시 광진구 능동로16길 60
66,세탁업,한양세탁소,세탁료(양복1벌),8000,02-452-3769,서울특별시 광진구 뚝섬로46길 34 ,,,,,,,,,,서울특별시 광진구 뚝섬로46길 34
67,세탁업,한일세탁,의복수선료,3000,02-447-2856,서울특별시 광진구  자양번영로5길 7 (자양동),,,,,,,,,,서울특별시 광진구  자양번영로5길 7
68,미용업,헤어라인,커트,7000,,서울특별시 광진구 광나루로30나길 6-1 ,,,,,,,,,,서울특별시 광진구 광나루로30나길 6
69,미용업,헤어아이디,"미용료
(파마)",35000,02-452-0981,서울특별시 광진구 능동로48길 75 ,,,,,,,,,,서울특별시 광진구 능동로48길 75
70,미용업,헤어포인트,"미용료
(파마)",30000,02-498-1746,서울특별시 광진구  능동로3길 44 (자양동),,,,,,,,,,서울특별시 광진구  능동로3길 44
71,한식,홍천화로숯불갈비,냉면,7000,02-454-9285,서울특별시 광진구 천호대로110길 27 (능동),,,,,,,,,,서울특별시 광진구 천호대로110길 27
72,한식,흥부농장,김치찌개,7000,02-343-3611,서울특별시 광진구  뚝섬로59길 81-2 (자양동),,,,,,,,,,서울특별시 광진구  뚝섬로59길 81
